year_month,count,date,twitter_data,office_type
2009-07,926,2009-07-01,Combined Accounts,House
2009-08,601,2009-08-01,Combined Accounts,House
2009-09,992,2009-09-01,Combined Accounts,House
2009-10,987,2009-10-01,Combined Accounts,House
2009-11,1006,2009-11-01,Combined Accounts,House
2009-12,681,2009-12-01,Combined Accounts,House
2010-01,1181,2010-01-01,Combined Accounts,House
2010-02,1144,2010-02-01,Combined Accounts,House
2010-03,2008,2010-03-01,Combined Accounts,House
2010-04,1543,2010-04-01,Combined Accounts,House
2010-05,1479,2010-05-01,Combined Accounts,House
2010-06,1855,2010-06-01,Combined Accounts,House
2010-07,1697,2010-07-01,Combined Accounts,House
2010-08,1632,2010-08-01,Combined Accounts,House
2010-09,1912,2010-09-01,Combined Accounts,House
2010-10,2138,2010-10-01,Combined Accounts,House
2010-11,944,2010-11-01,Combined Accounts,House
2010-12,810,2010-12-01,Combined Accounts,House
2011-01,1586,2011-01-01,Combined Accounts,House
2011-02,1510,2011-02-01,Combined Accounts,House
2011-03,2429,2011-03-01,Combined Accounts,House
2011-04,1924,2011-04-01,Combined Accounts,House
2011-05,2604,2011-05-01,Combined Accounts,House
2011-06,2455,2011-06-01,Combined Accounts,House
2011-07,2741,2011-07-01,Combined Accounts,House
2011-08,1889,2011-08-01,Combined Accounts,House
2011-09,2575,2011-09-01,Combined Accounts,House
2011-10,3244,2011-10-01,Combined Accounts,House
2011-11,2709,2011-11-01,Combined Accounts,House
2011-12,2445,2011-12-01,Combined Accounts,House
2012-01,3248,2012-01-01,Combined Accounts,House
2012-02,3761,2012-02-01,Combined Accounts,House
2012-03,4130,2012-03-01,Combined Accounts,House
2012-04,4253,2012-04-01,Combined Accounts,House
2012-05,4617,2012-05-01,Combined Accounts,House
2012-06,5061,2012-06-01,Combined Accounts,House
2012-07,4868,2012-07-01,Combined Accounts,House
2012-08,4236,2012-08-01,Combined Accounts,House
2012-09,4928,2012-09-01,Combined Accounts,House
2012-10,6131,2012-10-01,Combined Accounts,House
2012-11,4052,2012-11-01,Combined Accounts,House
2012-12,2539,2012-12-01,Combined Accounts,House
2013-01,4797,2013-01-01,Combined Accounts,House
2013-02,5670,2013-02-01,Combined Accounts,House
2013-03,6671,2013-03-01,Combined Accounts,House
2013-04,7510,2013-04-01,Combined Accounts,House
2013-05,9953,2013-05-01,Combined Accounts,House
2013-06,10070,2013-06-01,Combined Accounts,House
2013-07,10506,2013-07-01,Combined Accounts,House
2013-08,7579,2013-08-01,Combined Accounts,House
2013-09,9949,2013-09-01,Combined Accounts,House
2013-10,10907,2013-10-01,Combined Accounts,House
2013-11,8666,2013-11-01,Combined Accounts,House
2013-12,7224,2013-12-01,Combined Accounts,House
2014-01,10832,2014-01-01,Combined Accounts,House
2014-02,9486,2014-02-01,Combined Accounts,House
2014-03,11961,2014-03-01,Combined Accounts,House
2014-04,11880,2014-04-01,Combined Accounts,House
2014-05,13409,2014-05-01,Combined Accounts,House
2014-06,12224,2014-06-01,Combined Accounts,House
2014-07,15042,2014-07-01,Combined Accounts,House
2014-08,10378,2014-08-01,Combined Accounts,House
2014-09,11533,2014-09-01,Combined Accounts,House
2014-10,11099,2014-10-01,Combined Accounts,House
2014-11,8632,2014-11-01,Combined Accounts,House
2014-12,7361,2014-12-01,Combined Accounts,House
2015-01,13431,2015-01-01,Combined Accounts,House
2015-02,14101,2015-02-01,Combined Accounts,House
2015-03,15786,2015-03-01,Combined Accounts,House
2015-04,15287,2015-04-01,Combined Accounts,House
2015-05,14226,2015-05-01,Combined Accounts,House
2015-06,16553,2015-06-01,Combined Accounts,House
2015-07,19232,2015-07-01,Combined Accounts,House
2015-08,12559,2015-08-01,Combined Accounts,House
2015-09,15989,2015-09-01,Combined Accounts,House
2015-10,16624,2015-10-01,Combined Accounts,House
2015-11,14403,2015-11-01,Combined Accounts,House
2015-12,12689,2015-12-01,Combined Accounts,House
2016-01,16561,2016-01-01,Combined Accounts,House
2016-02,16833,2016-02-01,Combined Accounts,House
2016-03,19726,2016-03-01,Combined Accounts,House
2016-04,18840,2016-04-01,Combined Accounts,House
2016-05,19365,2016-05-01,Combined Accounts,House
2016-06,22729,2016-06-01,Combined Accounts,House
2016-07,18172,2016-07-01,Combined Accounts,House
2016-08,16045,2016-08-01,Combined Accounts,House
2016-09,20441,2016-09-01,Combined Accounts,House
2016-10,17405,2016-10-01,Combined Accounts,House
2016-11,15201,2016-11-01,Combined Accounts,House
2016-12,12506,2016-12-01,Combined Accounts,House
2017-01,23911,2017-01-01,Combined Accounts,House
2017-02,21990,2017-02-01,Combined Accounts,House
2017-03,32336,2017-03-01,Combined Accounts,House
2017-04,22680,2017-04-01,Combined Accounts,House
2017-05,26287,2017-05-01,Combined Accounts,House
2017-06,27031,2017-06-01,Combined Accounts,House
2017-07,25336,2017-07-01,Combined Accounts,House
2017-08,22091,2017-08-01,Combined Accounts,House
2017-09,26247,2017-09-01,Combined Accounts,House
2017-10,27884,2017-10-01,Combined Accounts,House
2017-11,24030,2017-11-01,Combined Accounts,House
2017-12,23580,2017-12-01,Combined Accounts,House
2018-01,29312,2018-01-01,Combined Accounts,House
2018-02,25080,2018-02-01,Combined Accounts,House
2018-03,30215,2018-03-01,Combined Accounts,House
2018-04,26719,2018-04-01,Combined Accounts,House
2018-05,29974,2018-05-01,Combined Accounts,House
2018-06,33253,2018-06-01,Combined Accounts,House
2018-07,29406,2018-07-01,Combined Accounts,House
2018-08,26034,2018-08-01,Combined Accounts,House
2018-09,28585,2018-09-01,Combined Accounts,House
2018-10,32625,2018-10-01,Combined Accounts,House
2018-11,23547,2018-11-01,Combined Accounts,House
2018-12,17939,2018-12-01,Combined Accounts,House
2019-01,15082,2019-01-01,Combined Accounts,House
2019-02,24383,2019-02-01,Combined Accounts,House
2019-03,29105,2019-03-01,Combined Accounts,House
2019-04,21178,2019-04-01,Combined Accounts,House
