year_month,total_tweets,date,twitter_data,office_type
2016-06,3320,2016-06-01,combined,senate
2016-07,2982,2016-07-01,combined,senate
2016-08,2557,2016-08-01,combined,senate
2016-09,3052,2016-09-01,combined,senate
2016-10,2733,2016-10-01,combined,senate
2016-11,2406,2016-11-01,combined,senate
2016-12,2153,2016-12-01,combined,senate
2017-01,3757,2017-01-01,combined,senate
2017-02,3168,2017-02-01,combined,senate
2017-03,4372,2017-03-01,combined,senate
2017-04,3322,2017-04-01,combined,senate
2017-05,4003,2017-05-01,combined,senate
2017-06,4164,2017-06-01,combined,senate
2017-07,4041,2017-07-01,combined,senate
2017-08,3341,2017-08-01,combined,senate
2017-09,4570,2017-09-01,combined,senate
2017-10,3986,2017-10-01,combined,senate
2017-11,3723,2017-11-01,combined,senate
2017-12,3522,2017-12-01,combined,senate
2018-01,4282,2018-01-01,combined,senate
2018-02,3504,2018-02-01,combined,senate
2018-03,5230,2018-03-01,combined,senate
2018-04,4375,2018-04-01,combined,senate
2018-05,4704,2018-05-01,combined,senate
2018-06,5070,2018-06-01,combined,senate
2018-07,4796,2018-07-01,combined,senate
2018-08,5297,2018-08-01,combined,senate
2018-09,5374,2018-09-01,combined,senate
2018-10,9391,2018-10-01,combined,senate
2018-11,4746,2018-11-01,combined,senate
2014-12,722,2014-12-01,combined,senate
2015-01,1247,2015-01-01,combined,senate
2015-02,1217,2015-02-01,combined,senate
2015-03,1686,2015-03-01,combined,senate
2015-04,1411,2015-04-01,combined,senate
2015-05,1455,2015-05-01,combined,senate
2015-06,1704,2015-06-01,combined,senate
2015-07,1742,2015-07-01,combined,senate
2015-08,1253,2015-08-01,combined,senate
2015-09,1676,2015-09-01,combined,senate
2015-10,1616,2015-10-01,combined,senate
2015-11,1974,2015-11-01,combined,senate
2015-12,1492,2015-12-01,combined,senate
2016-01,1575,2016-01-01,combined,senate
2016-02,2144,2016-02-01,combined,senate
2016-03,2347,2016-03-01,combined,senate
2016-04,2218,2016-04-01,combined,senate
2016-05,2361,2016-05-01,combined,senate
2016-06,2615,2016-06-01,combined,senate
2016-07,2196,2016-07-01,combined,senate
2016-08,2214,2016-08-01,combined,senate
2016-09,2406,2016-09-01,combined,senate
2016-10,2049,2016-10-01,combined,senate
2016-11,1691,2016-11-01,combined,senate
2016-12,1905,2016-12-01,combined,senate
2017-01,2609,2017-01-01,combined,senate
2017-02,2020,2017-02-01,combined,senate
2017-03,3061,2017-03-01,combined,senate
2017-04,2752,2017-04-01,combined,senate
2017-05,3320,2017-05-01,combined,senate
2017-06,3148,2017-06-01,combined,senate
2017-07,2679,2017-07-01,combined,senate
2017-08,2352,2017-08-01,combined,senate
2017-09,2964,2017-09-01,combined,senate
2017-10,2614,2017-10-01,combined,senate
2017-11,2912,2017-11-01,combined,senate
2017-12,2711,2017-12-01,combined,senate
2018-01,3365,2018-01-01,combined,senate
2018-02,2210,2018-02-01,combined,senate
2018-03,3145,2018-03-01,combined,senate
2018-04,2699,2018-04-01,combined,senate
2018-05,2954,2018-05-01,combined,senate
2018-06,3015,2018-06-01,combined,senate
2018-07,2724,2018-07-01,combined,senate
2018-08,2936,2018-08-01,combined,senate
2018-09,3311,2018-09-01,combined,senate
2018-10,3711,2018-10-01,combined,senate
2018-11,2839,2018-11-01,combined,senate
2018-12,2245,2018-12-01,combined,senate
2019-01,2603,2019-01-01,combined,senate
2019-02,2696,2019-02-01,combined,senate
2019-03,3069,2019-03-01,combined,senate
2019-04,2652,2019-04-01,combined,senate
2019-05,3120,2019-05-01,combined,senate
2019-06,3361,2019-06-01,combined,senate
2019-07,3129,2019-07-01,combined,senate
2019-08,2655,2019-08-01,combined,senate
2019-09,2994,2019-09-01,combined,senate
2019-10,3397,2019-10-01,combined,senate
2019-11,2817,2019-11-01,combined,senate
2019-12,2824,2019-12-01,combined,senate
2020-01,3508,2020-01-01,combined,senate
2020-02,3267,2020-02-01,combined,senate
2020-03,5170,2020-03-01,combined,senate
2020-04,4827,2020-04-01,combined,senate
2020-05,2817,2020-05-01,combined,senate
2020-06,2392,2020-06-01,combined,senate
2020-07,2612,2020-07-01,combined,senate
2020-08,3896,2020-08-01,combined,senate
2020-09,4410,2020-09-01,combined,senate
2020-10,5867,2020-10-01,combined,senate
2020-11,2622,2020-11-01,combined,senate
2008-09,11,2008-09-01,all,senate
2008-10,4,2008-10-01,all,senate
2008-11,4,2008-11-01,all,senate
2008-12,6,2008-12-01,all,senate
2009-01,6,2009-01-01,all,senate
2009-02,10,2009-02-01,all,senate
2009-03,58,2009-03-01,all,senate
2009-04,192,2009-04-01,all,senate
2009-05,142,2009-05-01,all,senate
2009-06,115,2009-06-01,all,senate
2009-07,104,2009-07-01,all,senate
2009-08,154,2009-08-01,all,senate
2009-09,158,2009-09-01,all,senate
2009-10,217,2009-10-01,all,senate
2009-11,250,2009-11-01,all,senate
2009-12,243,2009-12-01,all,senate
2010-01,344,2010-01-01,all,senate
2010-02,375,2010-02-01,all,senate
2010-03,489,2010-03-01,all,senate
2010-04,588,2010-04-01,all,senate
2010-05,440,2010-05-01,all,senate
2010-06,563,2010-06-01,all,senate
2010-07,706,2010-07-01,all,senate
2010-08,764,2010-08-01,all,senate
2010-09,585,2010-09-01,all,senate
2010-10,1107,2010-10-01,all,senate
2010-11,316,2010-11-01,all,senate
