year_month,count,date,twitter_data,office_type
2016-01,59,2016-01-01,All Accounts,Senate
2016-02,57,2016-02-01,All Accounts,Senate
2016-03,58,2016-03-01,All Accounts,Senate
2016-04,58,2016-04-01,All Accounts,Senate
2016-05,61,2016-05-01,All Accounts,Senate
2016-06,61,2016-06-01,All Accounts,Senate
2016-07,61,2016-07-01,All Accounts,Senate
2016-08,62,2016-08-01,All Accounts,Senate
2016-09,62,2016-09-01,All Accounts,Senate
2016-10,62,2016-10-01,All Accounts,Senate
2016-11,63,2016-11-01,All Accounts,Senate
2016-12,45,2016-12-01,All Accounts,Senate
2017-01,47,2017-01-01,All Accounts,Senate
2017-02,50,2017-02-01,All Accounts,Senate
2017-03,49,2017-03-01,All Accounts,Senate
2017-04,50,2017-04-01,All Accounts,Senate
2017-05,49,2017-05-01,All Accounts,Senate
2017-06,52,2017-06-01,All Accounts,Senate
2017-07,52,2017-07-01,All Accounts,Senate
2017-08,52,2017-08-01,All Accounts,Senate
2017-09,55,2017-09-01,All Accounts,Senate
2017-10,56,2017-10-01,All Accounts,Senate
2017-11,58,2017-11-01,All Accounts,Senate
2017-12,57,2017-12-01,All Accounts,Senate
2018-01,62,2018-01-01,All Accounts,Senate
2018-02,63,2018-02-01,All Accounts,Senate
2018-03,64,2018-03-01,All Accounts,Senate
2018-04,65,2018-04-01,All Accounts,Senate
2018-05,66,2018-05-01,All Accounts,Senate
2018-06,67,2018-06-01,All Accounts,Senate
2018-07,68,2018-07-01,All Accounts,Senate
2018-08,67,2018-08-01,All Accounts,Senate
2018-09,67,2018-09-01,All Accounts,Senate
2018-10,68,2018-10-01,All Accounts,Senate
2018-11,68,2018-11-01,All Accounts,Senate
2018-12,49,2018-12-01,All Accounts,Senate
2019-01,48,2019-01-01,All Accounts,Senate
2019-02,49,2019-02-01,All Accounts,Senate
2019-03,48,2019-03-01,All Accounts,Senate
2019-04,51,2019-04-01,All Accounts,Senate
2019-05,53,2019-05-01,All Accounts,Senate
2019-06,54,2019-06-01,All Accounts,Senate
2019-07,56,2019-07-01,All Accounts,Senate
2019-08,58,2019-08-01,All Accounts,Senate
2019-09,58,2019-09-01,All Accounts,Senate
2019-10,59,2019-10-01,All Accounts,Senate
2019-11,57,2019-11-01,All Accounts,Senate
2019-12,59,2019-12-01,All Accounts,Senate
2020-01,61,2020-01-01,All Accounts,Senate
2020-02,60,2020-02-01,All Accounts,Senate
2020-03,62,2020-03-01,All Accounts,Senate
2020-04,61,2020-04-01,All Accounts,Senate
2020-05,61,2020-05-01,All Accounts,Senate
2020-06,50,2020-06-01,All Accounts,Senate
2020-07,50,2020-07-01,All Accounts,Senate
2020-08,53,2020-08-01,All Accounts,Senate
2020-09,54,2020-09-01,All Accounts,Senate
2020-10,56,2020-10-01,All Accounts,Senate
2020-11,56,2020-11-01,All Accounts,Senate
2008-12,5,2008-12-01,Combined Accounts,House
2009-01,11,2009-01-01,Combined Accounts,House
2009-02,18,2009-02-01,Combined Accounts,House
2009-03,25,2009-03-01,Combined Accounts,House
2009-04,36,2009-04-01,Combined Accounts,House
2009-05,36,2009-05-01,Combined Accounts,House
2009-06,40,2009-06-01,Combined Accounts,House
2009-07,41,2009-07-01,Combined Accounts,House
2009-08,38,2009-08-01,Combined Accounts,House
2009-09,47,2009-09-01,Combined Accounts,House
2009-10,47,2009-10-01,Combined Accounts,House
2009-11,51,2009-11-01,Combined Accounts,House
2009-12,49,2009-12-01,Combined Accounts,House
2010-01,48,2010-01-01,Combined Accounts,House
2010-02,53,2010-02-01,Combined Accounts,House
2010-03,59,2010-03-01,Combined Accounts,House
2010-04,63,2010-04-01,Combined Accounts,House
2010-05,68,2010-05-01,Combined Accounts,House
2010-06,74,2010-06-01,Combined Accounts,House
2010-07,74,2010-07-01,Combined Accounts,House
2010-08,77,2010-08-01,Combined Accounts,House
2010-09,75,2010-09-01,Combined Accounts,House
2010-10,78,2010-10-01,Combined Accounts,House
2010-11,79,2010-11-01,Combined Accounts,House
2010-12,75,2010-12-01,Combined Accounts,House
