year_month,total_accounts,date,twitter_data,office_type
2015-12,27,2015-12-01,combined,senate
2016-01,28,2016-01-01,combined,senate
2016-02,29,2016-02-01,combined,senate
2016-03,29,2016-03-01,combined,senate
2016-04,29,2016-04-01,combined,senate
2016-05,29,2016-05-01,combined,senate
2016-06,30,2016-06-01,combined,senate
2016-07,29,2016-07-01,combined,senate
2016-08,29,2016-08-01,combined,senate
2016-09,29,2016-09-01,combined,senate
2016-10,29,2016-10-01,combined,senate
2016-11,30,2016-11-01,combined,senate
2016-12,29,2016-12-01,combined,senate
2017-01,28,2017-01-01,combined,senate
2017-02,30,2017-02-01,combined,senate
2017-03,29,2017-03-01,combined,senate
2017-04,29,2017-04-01,combined,senate
2017-05,30,2017-05-01,combined,senate
2017-06,31,2017-06-01,combined,senate
2017-07,31,2017-07-01,combined,senate
2017-08,30,2017-08-01,combined,senate
2017-09,31,2017-09-01,combined,senate
2017-10,31,2017-10-01,combined,senate
2017-11,32,2017-11-01,combined,senate
2017-12,32,2017-12-01,combined,senate
2018-01,30,2018-01-01,combined,senate
2018-02,30,2018-02-01,combined,senate
2018-03,31,2018-03-01,combined,senate
2018-04,31,2018-04-01,combined,senate
2018-05,31,2018-05-01,combined,senate
2018-06,31,2018-06-01,combined,senate
2018-07,31,2018-07-01,combined,senate
2018-08,31,2018-08-01,combined,senate
2018-09,32,2018-09-01,combined,senate
2018-10,32,2018-10-01,combined,senate
2018-11,31,2018-11-01,combined,senate
2018-12,31,2018-12-01,combined,senate
2019-01,30,2019-01-01,combined,senate
2019-02,30,2019-02-01,combined,senate
2019-03,32,2019-03-01,combined,senate
2019-04,32,2019-04-01,combined,senate
2019-05,32,2019-05-01,combined,senate
2019-06,33,2019-06-01,combined,senate
2019-07,34,2019-07-01,combined,senate
2019-08,34,2019-08-01,combined,senate
2019-09,35,2019-09-01,combined,senate
2019-10,35,2019-10-01,combined,senate
2019-11,34,2019-11-01,combined,senate
2019-12,35,2019-12-01,combined,senate
2020-01,36,2020-01-01,combined,senate
2020-02,35,2020-02-01,combined,senate
2020-03,36,2020-03-01,combined,senate
2020-04,35,2020-04-01,combined,senate
2020-05,35,2020-05-01,combined,senate
2020-06,33,2020-06-01,combined,senate
2020-07,32,2020-07-01,combined,senate
2020-08,35,2020-08-01,combined,senate
2020-09,36,2020-09-01,combined,senate
2020-10,36,2020-10-01,combined,senate
2020-11,36,2020-11-01,combined,senate
2008-09,1,2008-09-01,all,senate
2008-10,1,2008-10-01,all,senate
2008-11,1,2008-11-01,all,senate
2008-12,1,2008-12-01,all,senate
2009-01,1,2009-01-01,all,senate
2009-02,1,2009-02-01,all,senate
2009-03,4,2009-03-01,all,senate
2009-04,4,2009-04-01,all,senate
2009-05,5,2009-05-01,all,senate
2009-06,6,2009-06-01,all,senate
2009-07,7,2009-07-01,all,senate
2009-08,6,2009-08-01,all,senate
2009-09,7,2009-09-01,all,senate
2009-10,9,2009-10-01,all,senate
2009-11,10,2009-11-01,all,senate
2009-12,10,2009-12-01,all,senate
2010-01,12,2010-01-01,all,senate
2010-02,12,2010-02-01,all,senate
2010-03,13,2010-03-01,all,senate
2010-04,13,2010-04-01,all,senate
2010-05,13,2010-05-01,all,senate
2010-06,15,2010-06-01,all,senate
2010-07,18,2010-07-01,all,senate
2010-08,18,2010-08-01,all,senate
2010-09,18,2010-09-01,all,senate
2010-10,18,2010-10-01,all,senate
2010-11,17,2010-11-01,all,senate
2008-09,1,2008-09-01,all,senate
2008-10,1,2008-10-01,all,senate
2008-11,1,2008-11-01,all,senate
2008-12,2,2008-12-01,all,senate
2009-01,2,2009-01-01,all,senate
2009-02,4,2009-02-01,all,senate
2009-03,5,2009-03-01,all,senate
2009-04,4,2009-04-01,all,senate
2009-05,3,2009-05-01,all,senate
2009-06,5,2009-06-01,all,senate
2009-07,5,2009-07-01,all,senate
2009-08,4,2009-08-01,all,senate
2009-09,6,2009-09-01,all,senate
2009-10,8,2009-10-01,all,senate
2009-11,9,2009-11-01,all,senate
2009-12,8,2009-12-01,all,senate
2010-01,9,2010-01-01,all,senate
2010-02,9,2010-02-01,all,senate
2010-03,9,2010-03-01,all,senate
2010-04,9,2010-04-01,all,senate
2010-05,9,2010-05-01,all,senate
2010-06,9,2010-06-01,all,senate
2010-07,12,2010-07-01,all,senate
2010-08,12,2010-08-01,all,senate
2010-09,11,2010-09-01,all,senate
2010-10,12,2010-10-01,all,senate
2010-11,11,2010-11-01,all,senate
2010-12,8,2010-12-01,all,senate
2011-01,10,2011-01-01,all,senate
2011-02,10,2011-02-01,all,senate
2011-03,15,2011-03-01,all,senate
2011-04,14,2011-04-01,all,senate
2011-05,16,2011-05-01,all,senate
2011-06,17,2011-06-01,all,senate
2011-07,19,2011-07-01,all,senate
2011-08,20,2011-08-01,all,senate
2011-09,24,2011-09-01,all,senate
2011-10,23,2011-10-01,all,senate
2011-11,23,2011-11-01,all,senate
2011-12,24,2011-12-01,all,senate
2012-01,26,2012-01-01,all,senate
2012-02,30,2012-02-01,all,senate
2012-03,32,2012-03-01,all,senate
2012-04,33,2012-04-01,all,senate
2012-05,34,2012-05-01,all,senate
2012-06,34,2012-06-01,all,senate
2012-07,36,2012-07-01,all,senate
2012-08,38,2012-08-01,all,senate
2012-09,40,2012-09-01,all,senate
2012-10,42,2012-10-01,all,senate
2012-11,43,2012-11-01,all,senate
2008-12,1,2008-12-01,all,senate
2009-01,2,2009-01-01,all,senate
2009-02,3,2009-02-01,all,senate
2009-03,4,2009-03-01,all,senate
2009-04,4,2009-04-01,all,senate
2009-05,4,2009-05-01,all,senate
2009-06,4,2009-06-01,all,senate
2009-07,4,2009-07-01,all,senate
2009-08,4,2009-08-01,all,senate
2009-09,4,2009-09-01,all,senate
2009-10,5,2009-10-01,all,senate
2009-11,7,2009-11-01,all,senate
2009-12,6,2009-12-01,all,senate
2010-01,7,2010-01-01,all,senate
2010-02,8,2010-02-01,all,senate
2010-03,8,2010-03-01,all,senate
2010-04,8,2010-04-01,all,senate
2010-05,8,2010-05-01,all,senate
2010-06,8,2010-06-01,all,senate
2010-07,10,2010-07-01,all,senate
2010-08,9,2010-08-01,all,senate
2010-09,9,2010-09-01,all,senate
2010-10,11,2010-10-01,all,senate
2010-11,8,2010-11-01,all,senate
2010-12,9,2010-12-01,all,senate
2011-01,10,2011-01-01,all,senate
2011-02,10,2011-02-01,all,senate
2011-03,13,2011-03-01,all,senate
2011-04,12,2011-04-01,all,senate
