year_month,total_accounts,date,twitter_data,office_type
2016-07,415,2016-07-01,combined,house
2016-08,412,2016-08-01,combined,house
2016-09,416,2016-09-01,combined,house
2016-10,417,2016-10-01,combined,house
2016-11,416,2016-11-01,combined,house
2016-12,410,2016-12-01,combined,house
2017-01,432,2017-01-01,combined,house
2017-02,420,2017-02-01,combined,house
2017-03,442,2017-03-01,combined,house
2017-04,443,2017-04-01,combined,house
2017-05,449,2017-05-01,combined,house
2017-06,448,2017-06-01,combined,house
2017-07,456,2017-07-01,combined,house
2017-08,457,2017-08-01,combined,house
2017-09,456,2017-09-01,combined,house
2017-10,459,2017-10-01,combined,house
2017-11,469,2017-11-01,combined,house
2017-12,463,2017-12-01,combined,house
2018-01,477,2018-01-01,combined,house
2018-02,465,2018-02-01,combined,house
2018-03,487,2018-03-01,combined,house
2018-04,489,2018-04-01,combined,house
2018-05,491,2018-05-01,combined,house
2018-06,489,2018-06-01,combined,house
2018-07,498,2018-07-01,combined,house
2018-08,499,2018-08-01,combined,house
2018-09,498,2018-09-01,combined,house
2018-10,497,2018-10-01,combined,house
2018-11,492,2018-11-01,combined,house
2018-12,488,2018-12-01,combined,house
2019-01,463,2019-01-01,combined,house
2019-02,454,2019-02-01,combined,house
2019-03,478,2019-03-01,combined,house
2019-04,467,2019-04-01,combined,house
2019-05,474,2019-05-01,combined,house
2019-06,473,2019-06-01,combined,house
2019-07,482,2019-07-01,combined,house
2019-08,473,2019-08-01,combined,house
2019-09,489,2019-09-01,combined,house
2019-10,492,2019-10-01,combined,house
2019-11,483,2019-11-01,combined,house
2019-12,496,2019-12-01,combined,house
2020-01,502,2020-01-01,combined,house
2020-02,502,2020-02-01,combined,house
2020-03,520,2020-03-01,combined,house
2020-04,507,2020-04-01,combined,house
2020-05,519,2020-05-01,combined,house
2020-06,486,2020-06-01,combined,house
2020-07,486,2020-07-01,combined,house
2020-08,498,2020-08-01,combined,house
2020-09,493,2020-09-01,combined,house
2020-10,499,2020-10-01,combined,house
2020-11,497,2020-11-01,combined,house
2020-12,500,2020-12-01,combined,house
2021-01,499,2021-01-01,combined,house
2021-02,468,2021-02-01,combined,house
2021-03,493,2021-03-01,combined,house
2021-04,483,2021-04-01,combined,house
2021-05,496,2021-05-01,combined,house
2021-06,493,2021-06-01,combined,house
2021-07,503,2021-07-01,combined,house
2021-08,502,2021-08-01,combined,house
2021-09,499,2021-09-01,combined,house
2021-10,508,2021-10-01,combined,house
2021-11,510,2021-11-01,combined,house
2021-12,510,2021-12-01,combined,house
2022-01,509,2022-01-01,combined,house
2022-02,494,2022-02-01,combined,house
2022-03,521,2022-03-01,combined,house
2022-04,511,2022-04-01,combined,house
2022-05,524,2022-05-01,combined,house
2022-06,513,2022-06-01,combined,house
2022-07,520,2022-07-01,combined,house
2022-08,527,2022-08-01,combined,house
2022-09,512,2022-09-01,combined,house
2022-10,516,2022-10-01,combined,house
2022-11,518,2022-11-01,combined,house
2022-12,500,2022-12-01,combined,house
2023-01,502,2023-01-01,combined,house
2023-02,478,2023-02-01,combined,house
2023-03,492,2023-03-01,combined,house
2008-01,1,2008-01-01,all,house
2008-02,1,2008-02-01,all,house
2008-03,1,2008-03-01,all,house
2008-04,2,2008-04-01,all,house
2008-05,1,2008-05-01,all,house
2008-06,2,2008-06-01,all,house
2008-07,2,2008-07-01,all,house
2008-08,4,2008-08-01,all,house
2008-09,3,2008-09-01,all,house
2008-10,3,2008-10-01,all,house
2008-11,3,2008-11-01,all,house
2008-12,6,2008-12-01,all,house
2009-01,15,2009-01-01,all,house
2009-02,23,2009-02-01,all,house
2009-03,37,2009-03-01,all,house
2009-04,47,2009-04-01,all,house
2009-05,48,2009-05-01,all,house
2009-06,60,2009-06-01,all,house
2009-07,59,2009-07-01,all,house
2009-08,57,2009-08-01,all,house
2009-09,72,2009-09-01,all,house
2009-10,72,2009-10-01,all,house
2009-11,75,2009-11-01,all,house
2009-12,78,2009-12-01,all,house
2010-01,83,2010-01-01,all,house
2010-02,92,2010-02-01,all,house
2010-03,97,2010-03-01,all,house
2010-04,110,2010-04-01,all,house
2010-05,113,2010-05-01,all,house
2010-06,126,2010-06-01,all,house
2010-07,126,2010-07-01,all,house
2010-08,130,2010-08-01,all,house
2010-09,130,2010-09-01,all,house
2010-10,133,2010-10-01,all,house
2010-11,136,2010-11-01,all,house
2010-12,111,2010-12-01,all,house
2011-01,137,2011-01-01,all,house
2011-02,138,2011-02-01,all,house
2011-03,150,2011-03-01,all,house
2011-04,159,2011-04-01,all,house
2011-05,166,2011-05-01,all,house
2011-06,169,2011-06-01,all,house
2011-07,171,2011-07-01,all,house
2011-08,174,2011-08-01,all,house
2011-09,189,2011-09-01,all,house
2011-10,199,2011-10-01,all,house
2011-11,217,2011-11-01,all,house
2011-12,209,2011-12-01,all,house
